Gene Accession Number,Gene Definition,Sample Source,Gene Organism,Isolation Source,Collection Date,Collection Country,Taxon ID,BioProject,BioSample,Assembly,Reference_1,Reference_2,Reference_3,Reference_4,Reference_5,Reference_6,Reference_7,Reference_8,Reference_9,Reference_10,Reference_11,Reference_12,Reference_13,Reference_14,Reference_15,Reference_16,Reference_17,Reference_18,Reference_19,Reference_20,Reference_21,Reference_22,Reference_23,Reference_24,Reference_25,Reference_26,Reference_27,Reference_28,Reference_29,Reference_30,Reference_31,new_collection_date
BA000013.4,"Mesorhizobium loti MAFF303099 pMLa DNA, complete genome",Mesorhizobium japonicum MAFF 303099,Mesorhizobium japonicum MAFF 303099,,,,taxon:266835,BioProject:PRJNA18,BioSample:SAMD00061086,,Direct Submission,Complete genome structure of the nitrogen-fixing symbiotic bacterium Mesorhizobium loti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP006841.1,"Bacteroides fragilis YCH46 DNA, complete genome",Bacteroides fragilis YCH46,Bacteroides fragilis YCH46,,,,taxon:295405,BioProject:PRJNA13067,BioSample:SAMD00061068,,Direct Submission,Genomic analysis of Bacteroides fragilis reveals extensive DNA inversions regulating cell surface adaptation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR555306.1,Azoarcus aromaticum EbN1 complete genome,Aromatoleum aromaticum EbN1,Aromatoleum aromaticum EbN1,,,,taxon:76114,BioProject:PRJNA13242,BioSample:SAMEA3138218,,"Genes involved in the anaerobic degradation of toluene in a denitrifying bacterium, strain EbN1",Direct Submission,"Genes involved in the anaerobic degradation of ethylbenzene in a denitrifying bacterium, strain EbN1","The genome sequence of an anaerobic aromatic-degrading denitrifying bacterium, strain EbN1","Substrate-dependent regulation of anaerobic degradation pathways for toluene and ethylbenzene in a denitrifying bacterium, strain EbN1",,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000050.1,"Xanthomonas campestris pv. campestris str. 8004, complete genome",Xanthomonas campestris pv. campestris str. 8004,Xanthomonas campestris pv. campestris str. 8004,,,,taxon:314565,BioProject:PRJNA15,BioSample:SAMN02603125,,Direct Submission,Comparative and functional genomic analyses of the pathogenicity of phytopathogen Xanthomonas campestris pv. campestris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA000038.2,"Vibrio vulnificus YJ016 DNA, chromosome II, complete sequence",Vibrio vulnificus YJ016,Vibrio vulnificus YJ016,,,,taxon:196600,BioProject:PRJNA1430,BioSample:SAMD00061075,,Direct Submission,"Comparative genome analysis of Vibrio vulnificus, a marine pathogen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP007255.1,"Magnetospirillum magneticum AMB-1 DNA, complete genome",Paramagnetospirillum magneticum AMB-1,Paramagnetospirillum magneticum AMB-1,,,,taxon:342108,BioProject:PRJNA16217,BioSample:SAMD00061077,,Direct Submission,Complete genome sequence of the facultative anaerobic magnetotactic bacterium Magnetospirillum sp. strain AMB-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP008229.1,"Xanthomonas oryzae pv. oryzae MAFF 311018 DNA, complete genome",Xanthomonas oryzae pv. oryzae MAFF 311018,Xanthomonas oryzae pv. oryzae MAFF 311018,,,,taxon:342109,BioProject:PRJNA16297,BioSample:SAMD00061078,,Direct Submission,Genome sequence of Xanthomonas oryzae pv. oryzae suggests contribution of large numbers of effector genes and insertion sequences to its race diversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF550415.2,"Citrobacter freundii plasmid pCTX-M3, complete sequence",Citrobacter freundii,Citrobacter freundii,,,,taxon:546,,BioSample:SAMN14224798,,Direct Submission,Complete nucleotide sequence of the pCTX-M3 plasmid and its involvement in spread of the extended-spectrum beta-lactamase gene blaCTX-M-3,Complete nucleotide sequence of highly transmissible plasmid pCTX-M3,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY046276.1,"Salmonella enterica subsp. enterica serovar Typhimurium plasmid R46, complete sequence",Salmonella enterica subsp. enterica serovar Typhimurium (Salmonella typhimurium),Salmonella enterica subsp. enterica serovar Typhimurium,,,,taxon:90371,,BioSample:SAMN14224785,,A novel family of potentially mobile DNA elements encoding site-specific gene-integration functions: integrons,Common ancestry between IncN conjugal transfer genes and macromolecular export systems of plant and animal pathogens,The integron In1 in plasmid R46 includes two copies of the oxa2 gene cassette,IncN plasmid pKM101 and IncI1 plasmid ColIb-P9 encode homologous antirestriction proteins in their leading regions,Entry exclusion of the IncN plasmid pKM101 is mediated by a single hydrophilic protein containing a lipid attachment motif,Integrons found in different locations have identical 5' ends but variable 3' ends,"The region of the IncN plasmid R46 coding for resistance to beta-lactam antibiotics, streptomycin/spectinomycin and sulphonamides is closely related to antibiotic resistance segments found in IncW plasmids and in Tn21-like transposons",Plasmid pKM101 encodes two nonhomologous antirestriction proteins (ArdA and ArdB) whose expression is controlled by homologous regulatory sequences,Family of class 1 integrons related to In4 from Tn1696,"Complete sequence of R46 and its deletion derivative, pKM101",Direct Submission,pKM101 is an IS46-promoted deletion of R46,Organization of the leading region of IncN plasmid pKM101 (R46): a regulation controlled by CUP sequence elements,,,,,,,,,,,,,,,,,,,
CP000148.1,"Geobacter metallireducens GS-15, complete genome",Geobacter metallireducens GS-15,Geobacter metallireducens GS-15,,,,taxon:269799,BioProject:PRJNA177,BioSample:SAMN02598399,,Complete sequence of Geobacter metallireducens GS-15,Direct Submission,"The genome sequence of Geobacter metallireducens: features of metabolism, physiology and regulation common and dissimilar to Geobacter sulfurreducens",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000282.1,"Saccharophagus degradans 2-40, complete genome",Saccharophagus degradans 2-40,Saccharophagus degradans 2-40,,,,taxon:203122,BioProject:PRJNA316,BioSample:SAMN02598483,,Complete sequence of Saccharophagus degradans 2-40,"Complete genome sequence of the complex carbohydrate-degrading marine bacterium, Saccharophagus degradans strain 2-40 T",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000282.1,"Saccharophagus degradans 2-40, complete genome",Saccharophagus degradans 2-40,Saccharophagus degradans 2-40,,,,taxon:203122,BioProject:PRJNA316,BioSample:SAMN02598483,,Complete sequence of Saccharophagus degradans 2-40,"Complete genome sequence of the complex carbohydrate-degrading marine bacterium, Saccharophagus degradans strain 2-40 T",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000142.2,"Pelobacter carbinolicus DSM 2380, complete genome",Syntrophotalea carbinolica DSM 2380,Syntrophotalea carbinolica DSM 2380,,,,taxon:338963,BioProject:PRJNA13337,BioSample:SAMN02598295,,Complete sequence of Pelobacter carbinolicus DSM 2380,Direct Submission,The genome of Pelobacter carbinolicus reveals surprising metabolic capabilities and physiological features,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000272.1,"Paraburkholderia xenovorans LB400 chromosome 3, complete sequence",Paraburkholderia xenovorans LB400,Paraburkholderia xenovorans LB400,,,,taxon:266265,BioProject:PRJNA254,BioSample:SAMN02598451,,Complete sequence of Chromosome 3 of Burkholderia xenovorans LB400,"Burkholderia xenovorans LB400 harbors a multi-replicon, 9.73-Mbp genome shaped for versatility",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000272.1,"Paraburkholderia xenovorans LB400 chromosome 3, complete sequence",Paraburkholderia xenovorans LB400,Paraburkholderia xenovorans LB400,,,,taxon:266265,BioProject:PRJNA254,BioSample:SAMN02598451,,Complete sequence of Chromosome 3 of Burkholderia xenovorans LB400,"Burkholderia xenovorans LB400 harbors a multi-replicon, 9.73-Mbp genome shaped for versatility",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000319.1,"Nitrobacter hamburgensis X14, complete genome",Nitrobacter hamburgensis X14,Nitrobacter hamburgensis X14,,,,taxon:323097,BioProject:PRJNA13473,BioSample:SAMN02598307,,Direct Submission,Complete sequence of chromosome of Nitrobacter hamburgensis X14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000356.1,"Sphingopyxis alaskensis RB2256, complete genome",Sphingopyxis alaskensis RB2256,Sphingopyxis alaskensis RB2256,,,,taxon:317655,BioProject:PRJNA13907,BioSample:SAMN02598319,,Complete sequence of chromosome of Sphingopyxis alaskensis RB2256,The genomic basis of trophic strategy in marine bacteria,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQ517526.1,"Escherichia coli APEC O1 plasmid pAPEC-O1-R, complete sequence",Escherichia coli APEC O1,Escherichia coli APEC O1,lesion site (lung) of a dead turkey with colibacillosis,,,taxon:405955,BioProject:PRJNA16718,BioSample:SAMN02603424,,Direct Submission,"Complete DNA sequence, comparative genomics, and prevalence of an IncHI2 plasmid occurring among extraintestinal pathogenic Escherichia coli isolates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQ364638.1,"Escherichia coli plasmid NR1, complete sequence",Escherichia coli,Escherichia coli,,,,taxon:562,,BioSample:SAMN14224192,,Direct Submission,"Facile recovery of individual high-molecular-weight, low-copy-number natural plasmids for genomic sequencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000388.1,"Pseudoalteromonas atlantica T6c, complete genome",Paraglaciecola sp. T6c,Paraglaciecola sp. T6c,,,,taxon:3042615,BioProject:PRJNA13454,BioSample:SAMN02598305,,Direct Submission,Complete sequence of Pseudoalteromonas atlantica T6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000453.1,"Alkalilimnicola ehrlichii MLHE-1, complete genome",Alkalilimnicola ehrlichii MLHE-1,Alkalilimnicola ehrlichii MLHE-1,,,,taxon:187272,BioProject:PRJNA15763,BioSample:SAMN02598349,,Direct Submission,Complete sequence of Alkalilimnicola ehrilichei MLHE-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000453.1,"Alkalilimnicola ehrlichii MLHE-1, complete genome",Alkalilimnicola ehrlichii MLHE-1,Alkalilimnicola ehrlichii MLHE-1,,,,taxon:187272,BioProject:PRJNA15763,BioSample:SAMN02598349,,Direct Submission,Complete sequence of Alkalilimnicola ehrilichei MLHE-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM236080.1,"Rhizobium leguminosarum bv. viciae chromosome complete genome, strain 3841",Rhizobium johnstonii 3841,Rhizobium johnstonii 3841,,,United Kingdom,taxon:216596,BioProject:PRJNA344,BioSample:SAMEA1705944,,Direct Submission,The genome of Rhizobium leguminosarum has recognizable core and accessory components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM236084.1,"Rhizobium leguminosarum bv. viciae plasmid pRL10 complete genome, strain 3841",Rhizobium johnstonii 3841,Rhizobium johnstonii 3841,,,United Kingdom,taxon:216596,BioProject:PRJNA344,BioSample:SAMEA1705944,,Direct Submission,The genome of Rhizobium leguminosarum has recognizable core and accessory components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF313472.2,"Pseudomonas aeruginosa plasmid RPL11 transposon Tn1403, complete sequence",Pseudomonas aeruginosa,Pseudomonas aeruginosa,,,,taxon:287,,BioSample:SAMN14224720,,Direct Submission,Family of class 1 integrons related to In4 from Tn1696,"Tn1403, a multiple-antibiotic resistance transposon made up of three distinct transposons",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000471.1,"Magnetococcus marinus MC-1, complete genome",Magnetococcus marinus MC-1,Magnetococcus marinus MC-1,,,,taxon:156889,BioProject:PRJNA262,BioSample:SAMN02598452,,Complete sequence of Magnetococcus sp. MC-1,"Magnetococcus marinus gen. nov., sp. nov., a marine, magnetotactic bacterium that represents a novel lineage (Magnetococcaceae fam. nov.; Magnetococcales ord. nov.) at the base of the Alphaproteobacteria",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000471.1,"Magnetococcus marinus MC-1, complete genome",Magnetococcus marinus MC-1,Magnetococcus marinus MC-1,,,,taxon:156889,BioProject:PRJNA262,BioSample:SAMN02598452,,Complete sequence of Magnetococcus sp. MC-1,"Magnetococcus marinus gen. nov., sp. nov., a marine, magnetotactic bacterium that represents a novel lineage (Magnetococcaceae fam. nov.; Magnetococcales ord. nov.) at the base of the Alphaproteobacteria",Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000492.1,"Chlorobium phaeobacteroides DSM 266, complete genome",Chlorobium phaeobacteroides DSM 266,Chlorobium phaeobacteroides DSM 266,,,,taxon:290317,BioProject:PRJNA12609,BioSample:SAMN02598273,,Direct Submission,Complete sequence of Chlorobium phaeobacteroides DSM 266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000507.1,"Shewanella amazonensis SB2B, complete genome",Shewanella amazonensis SB2B,Shewanella amazonensis SB2B,,,,taxon:326297,BioProject:PRJNA13385,BioSample:SAMN02598298,,Direct Submission,Complete sequence of Shewanella amazonensis SB2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000507.1,"Shewanella amazonensis SB2B, complete genome",Shewanella amazonensis SB2B,Shewanella amazonensis SB2B,,,,taxon:326297,BioProject:PRJNA13385,BioSample:SAMN02598298,,Direct Submission,Complete sequence of Shewanella amazonensis SB2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000514.1,"Marinobacter nauticus VT8 chromosome, complete genome",Marinobacter nauticus VT8 (Marinobacter aquaeolei VT8),Marinobacter nauticus VT8,,,,taxon:351348,BioProject:PRJNA13239,BioSample:SAMN02598294,,Direct Submission,Complete sequence of Chromosome1 of Marinobacter aquaeolei VT8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000514.1,"Marinobacter nauticus VT8 chromosome, complete genome",Marinobacter nauticus VT8 (Marinobacter aquaeolei VT8),Marinobacter nauticus VT8,,,,taxon:351348,BioProject:PRJNA13239,BioSample:SAMN02598294,,Direct Submission,Complete sequence of Chromosome1 of Marinobacter aquaeolei VT8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000539.1,"Acidovorax sp. JS42, complete genome",Acidovorax sp. JS42,Acidovorax sp. JS42,,,,taxon:232721,BioProject:PRJNA15685,BioSample:SAMN02598333,,Direct Submission,Complete sequence of Chromosome1 of Acidovorax sp. JS42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000503.1,"Shewanella sp. W3-18-1, complete genome",Shewanella sp. W3-18-1,Shewanella sp. W3-18-1,,,,taxon:351745,BioProject:PRJNA13902,BioSample:SAMN02598315,,Complete sequence of Shewanella sp. W3-18-1,Large-scale comparative phenotypic and genomic analyses reveal ecological preferences of shewanella species and identify metabolic pathways conserved at the genus level,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000503.1,"Shewanella sp. W3-18-1, complete genome",Shewanella sp. W3-18-1,Shewanella sp. W3-18-1,,,,taxon:351745,BioProject:PRJNA13902,BioSample:SAMN02598315,,Complete sequence of Shewanella sp. W3-18-1,Large-scale comparative phenotypic and genomic analyses reveal ecological preferences of shewanella species and identify metabolic pathways conserved at the genus level,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000555.1,"Methylibium petroleiphilum PM1, complete genome",Methylibium petroleiphilum PM1,Methylibium petroleiphilum PM1,,,,taxon:420662,BioProject:PRJNA10789,BioSample:SAMN02598264,,Whole-Genome Analysis of Methyl tert-Butyl Ether (MTBE)-Degrading Beta-Proteobacterium Methylibium petroleiphilum PM1,Whole-genome analysis of the methyl tert-butyl ether-degrading beta-proteobacterium Methylibium petroleiphilum PM1,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000604.1,"Salmonella enterica subsp. enterica serovar Newport str. SL254 plasmid pSN254, complete sequence",Salmonella enterica subsp. enterica serovar Newport str. SL254,Salmonella enterica subsp. enterica serovar Newport str. SL254,,,,taxon:423368,BioProject:PRJNA18747,BioSample:SAMN02604062,,Comparative genomics of 28 Salmonella enterica isolates: evidence for CRISPR-mediated adaptive sublineage evolution,Multiple antimicrobial resistance in plague: an emerging public health risk,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000614.1,"Burkholderia vietnamiensis G4 chromosome 1, complete sequence",Burkholderia vietnamiensis G4,Burkholderia vietnamiensis G4,,,,taxon:269482,BioProject:PRJNA10696,BioSample:SAMN02598263,,Direct Submission,Complete sequence of Chromosome1 of Burkholderia vietnamiensis G4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CU459004.1,Magnetospirillum gryphiswaldense complete plasmid,Magnetospirillum gryphiswaldense MSR-1,Magnetospirillum gryphiswaldense MSR-1,from the mud of the eutrophic river Ryck,,"Germany:Mecklenburg-Vorpommern, Greifswald",taxon:431944,BioProject:PRJEA19063,BioSample:SAMEA3138298,,Direct Submission,Comparative genome analysis of four magnetotactic bacteria reveals a complex set of group-specific genes implicated in magnetosome biomineralization and function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000304.1,"Pseudomonas stutzeri A1501, complete genome",Stutzerimonas stutzeri A1501,Stutzerimonas stutzeri A1501,,,,taxon:379731,BioProject:PRJNA16817,BioSample:SAMN02603910,,Direct Submission,Nitrogen fixation island and rhizosphere competence traits in the genome of root-associated Pseudomonas stutzeri A1501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000698.1,"Geobacter uraniireducens Rf4, complete genome",Geotalea uraniireducens Rf4,Geotalea uraniireducens Rf4,,,,taxon:351605,BioProject:PRJNA15768,BioSample:SAMN02598352,,Direct Submission,Complete sequence of Geobacter uraniireducens Rf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000690.1,"Acidiphilium cryptum JF-5 plasmid pACRY02, complete sequence",Acidiphilium cryptum JF-5,Acidiphilium cryptum JF-5,,,,taxon:349163,BioProject:PRJNA15753,BioSample:SAMN02598339,,Direct Submission,Complete sequence of plasmid2 pACRY02 of Acidiphilium cryptum JF-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000697.1,"Acidiphilium cryptum JF-5, complete genome",Acidiphilium cryptum JF-5,Acidiphilium cryptum JF-5,,,,taxon:349163,BioProject:PRJNA15753,BioSample:SAMN02598339,,Direct Submission,Complete sequence of chromosome of Acidiphilium cryptum JF-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000709.1,"Brucella ovis ATCC 25840 chromosome II, complete sequence",Brucella ovis ATCC 25840,Brucella ovis ATCC 25840,,,,ATCC:25840,BioProject:PRJNA12514,BioSample:SAMN02604024,,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL954747.1,"Nitrosomonas europaea ATCC 19718, complete genome",Nitrosomonas europaea ATCC 19718,Nitrosomonas europaea ATCC 19718,,,,taxon:228410,BioProject:PRJNA52,BioSample:SAMEA3138193,,Direct Submission,Complete genome sequence of the ammonia-oxidizing bacterium and obligate chemolithoautotroph Nitrosomonas europaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000753.1,"Shewanella baltica OS185, complete genome",Shewanella baltica OS185,Shewanella baltica OS185,,,,taxon:402882,BioProject:PRJNA17643,BioSample:SAMN02598398,,Complete sequence of chromosome of Shewanella baltica OS185,Shewanella baltica Ecotypes Have Wide Transcriptional Variation under the Same Growth Conditions,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000926.1,"Pseudomonas putida GB-1 chromosome, complete genome",Pseudomonas putida GB-1,Pseudomonas putida GB-1,,,,taxon:76869,BioProject:PRJNA17629,BioSample:SAMN00623059,,Direct Submission,Complete sequence of Pseudomonas putida GB-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM920689.1,"Xanthomonas campestris pv. campestris complete genome, strain B100",Xanthomonas campestris pv. campestris,Xanthomonas campestris pv. campestris,mud from the bottom of the river Rhine,,Germany:Rhine River,taxon:340,BioProject:PRJNA29801,BioSample:SAMEA3138285,,Direct Submission,The genome of Xanthomonas campestris pv. campestris B100 and its use for the reconstruction of metabolic pathways involved in xanthan biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000777.1,"Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)' chromosome I, complete sequence",Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)',Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)',,,,taxon:355278,BioProject:PRJNA16153,BioSample:SAMN02603617,,Direct Submission,Genome Sequence of the Saprophyte Leptospira biflexa Provides Insights into the Evolution of Leptospira and the Pathogenesis of Leptospirosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000860.1,"Candidatus Desulforudis audaxviator MP104C, complete genome",Candidatus Desulforudis audaxviator MP104C,Candidatus Desulforudis audaxviator MP104C,,,,taxon:477974,BioProject:PRJNA21047,BioSample:SAMN02598442,,Direct Submission,Environmental genomics reveals a single-species ecosystem deep within Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP001045.1,"Paraburkholderia phymatum STM815 plasmid pBPHY01, complete sequence",Paraburkholderia phymatum STM815,Paraburkholderia phymatum STM815,,,,taxon:391038,BioProject:PRJNA17409,BioSample:SAMN02598384,,Direct Submission,Complete sequence of plasmid1 of Burkholderia phymatum STM815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP001046.1,"Paraburkholderia phymatum STM815 plasmid pBPHY02, complete sequence",Paraburkholderia phymatum STM815,Paraburkholderia phymatum STM815,,,,taxon:391038,BioProject:PRJNA17409,BioSample:SAMN02598384,,Direct Submission,Complete sequence of plasmid2 of Burkholderia phymatum STM815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP001100.1,"Chloroherpeton thalassium ATCC 35110, complete genome",Chloroherpeton thalassium ATCC 35110,Chloroherpeton thalassium ATCC 35110,,,,taxon:517418,BioProject:PRJNA29215,BioSample:SAMN02598461,,Direct Submission,Complete sequence of Chloroherpeton thalassium ATCC 35110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU686596.1,Uncultured bacterium AD12-E7 genomic sequence,uncultured bacterium AD12-E7,uncultured bacterium AD12-E7,Mediterranean Sea,,,taxon:526646,BioProject:PRJNA29029,,,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP001232.1,"Escherichia coli strain APEC O103 plasmid pAPEC-O103-ColBM, partial sequence",Escherichia coli,Escherichia coli,,,,taxon:562,BioProject:PRJNA32773,,,Direct Submission,Sequence analysis and characterization of a transferable hybrid plasmid encoding multidrug resistance and enabling zoonotic potential for extraintestinal Escherichia coli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP001337.1,"Chloroflexus aggregans DSM 9485, complete genome",Chloroflexus aggregans DSM 9485,Chloroflexus aggregans DSM 9485,,,,taxon:326427,BioProject:PRJNA16708,BioSample:SAMN00623036,,Direct Submission,Complete sequence of Chloroflexus aggregans DSM 9485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
