test_id	inti_type	pre_prob	bacterial_host	pre_prob	resistance_category
PCUD01000031.1|PIQ10485.1|Group09_0	Group15	0.3248653	Deltaproteobacteria	0.57318825	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JACNGF010000569.1|MBC8487234.1|Group09_0	Group09	0.98774	Ignavibacteria	0.6198255	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
NZ_BLAV01000001.1|WP_153638003.1|Group09_0	Group09	0.9997167	Zetaproteobacteria	0.69800806	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,tetracycline
JACNKR010000068.1|MBC8198098.1|Group09_0	Group15	0.7124589	Spirochaetia	0.52626824	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,nitrofurantoin,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JACOUS010000024.1|MBI1938415.1|Group09_0	Group09	0.85149336	Deltaproteobacteria	0.47160703	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
JAACRY010000291.1|NCP85259.1|Group09_0	Group08	0.46855414	Zetaproteobacteria	0.39080277	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
JAHHLN010000125.1|MBT8380017.1|Group09_0	Group15	0.7154576	Gammaproteobacteria	0.6984447	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JAACRH010000250.1|NCQ19014.1|Group09_0	Group04	0.34609082	Zetaproteobacteria	0.22066183	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
MWSV01000097.1|OQY73277.1|Group09_0	Group09	0.9995963	Deltaproteobacteria	0.8127005	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JABTVB010000002.1|MBE7478171.1|Group09_0	Group07	0.52288437	Zetaproteobacteria	0.30311283	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JADJMD010000010.1|MBK7630157.1|Group09_0	Group09	0.9998864	Ignavibacteria	0.85338944	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,quinolone,rifamycin,tetracycline
NZ_JACVRC010000148.1|WP_203329169.1|Group10_0	non-inti				
NZ_SJPN01000001.1|WP_197454183.1|Group10_0	Group15	0.5669075	Gammaproteobacteria	0.82580864	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
FR718198.1|CBX55397.1|Group10_0	Group08	0.5944386	Gammaproteobacteria	0.6693223	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
WGMU01000046.1|MBI1311726.1|Unclassified_0	Group02	0.5528803	Gammaproteobacteria	0.52796245	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
NZ_SJPW01000008.1|WP_222435933.1|Group10_0	Group15	0.44887853	Gammaproteobacteria	0.20602901	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JAHBXS010000001.1|MBX3415967.1|Group10_0	non-inti				
SJPU01000001.1|TWU19182.1|Group10_0	non-inti				
NZ_SJPX01000003.1|WP_146534575.1|Group10_0	Group15	0.7880151	Gammaproteobacteria	0.48571742	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,nitrofurantoin,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
NZ_SJPV01000002.1|WP_197231120.1|Group10_0	non-inti				
SJPJ01000001.1|TWT79580.1|Group10_0	non-inti				
NZ_ANMO01000009.1|WP_144054614.1|Group10_0	non-inti				
PBMZ01000003.1|MBM79079.1|Group10_0	Group09	0.9993025	Zetaproteobacteria	0.85473746	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,quinolone,rifamycin,tetracycline
NZ_SUNB01000005.1|WP_144394844.1|Group10_0	Group15	0.85245454	Gammaproteobacteria	0.2376537	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
NZ_SJPK01000012.1|WP_222435483.1|Group10_0	Group15	0.4645433	Gammaproteobacteria	0.39793855	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,nitrofurantoin,peptide,pleuromutilin,polymyxin,quinolone,rifamycin,sulfonamide,tetracycline,trimethoprim
BJHJ01000075.1|GDX92607.1|Group10_0	Group02	0.42697096	Deltaproteobacteria	0.36410975	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
NZ_NIZW01000042.1|WP_199169991.1|Group10_0	Group09	0.9947748	Ignavibacteria	0.8338054	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,polymyxin,quinolone,rifamycin,sulfonamide,tetracycline
SJPU01000010.1|TWU08589.1|Group10_0	Group15	0.62527674	Deltaproteobacteria	0.28846064	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JACRUV010000391.1|MBC8870787.1|Group10_0	non-inti				
NZ_WRPR01000126.1|WP_203329154.1|Group10_0	non-inti				
NZ_KB891332.1|WP_018509358.1|Group13_0	Group04	0.29580352	Deltaproteobacteria	0.2683085	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JABURT010000043.1|MBD3669241.1|Group13_0	Group15	0.85697407	Gammaproteobacteria	0.56645083	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JACRIY010000041.1|MBI5791120.1|Group13_0	Group15	0.48498854	Zetaproteobacteria	0.36098495	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JABMOI010000004.1|NQV71495.1|Group13_0	Group09	0.9991296	Bacteroidia	0.999846	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
VGOB01000082.1|MBM3129486.1|Group13_0	Group09	0.99970263	Zetaproteobacteria	0.8280771	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,glycopeptide,multidrug,peptide,quinolone,rifamycin,tetracycline
NZ_JACHIC010000003.1|WP_049724627.1|Group13_0	non-inti				
SSFC01000051.1|TXH65029.1|Group06_0	Group09	0.9937423	Ignavibacteria	0.8462892	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
NZ_CP014323.1|WP_061095347.1|Group13_0	Group09	0.99977547	Ignavibacteria	0.6388318	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
LN775038.1|CEN54686.1|Group13_0	Group15	0.6252111	Gammaproteobacteria	0.5595073	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
NZ_LMUE01000002.1|WP_158753484.1|Group06_0	Group15	0.39735788	Deltaproteobacteria	0.15021396	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
SBGP01000017.1|TNE91794.1|Group13_0	Group09	0.9998331	Ignavibacteria	0.994282	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JABSRQ010000019.1|NRB38579.1|Group13_0	Group15	0.74382323	Gammaproteobacteria	0.5275449	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,nitrofurantoin,peptide,pleuromutilin,polymyxin,quinolone,rifamycin,sulfonamide,tetracycline
JAIVHK010000375.1|MCA1789861.1|Group13_0	Group11	0.45896032	Zetaproteobacteria	0.38405764	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
NZ_AAOE01000038.1|WP_008041244.1|Group13_0	Group15	0.69599205	Gammaproteobacteria	0.3863025	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
CP040871.1|QDA56443.1|Group13_0	Group09	0.9999541	Ignavibacteria	0.99601233	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,quinolone,rifamycin,tetracycline
NZ_SJPZ01000001.1|WP_146413718.1|Group13_0	Group15	0.57335997	Deltaproteobacteria	0.57836086	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
NZ_JAAVXB010000005.1|WP_168148282.1|Group13_0	Group06	0.21583499	Gammaproteobacteria	0.43646398	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JADFVZ010000135.1|MBE9550348.1|Group13_0	Group09	0.99922395	Ignavibacteria	0.97732097	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
FR718201.1|CBX55400.1|Group13_0	Group15	0.39306206	Gammaproteobacteria	0.26523504	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JABIKT010000010.1|MBT3773091.1|Group13_0	Group09	0.9501954	Ignavibacteria	0.42782596	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,quinolone,rifamycin,sulfonamide,tetracycline
DMYU01000005.1|HAU12113.1|Group13_0	non-inti				
JAFGCS010000500.1|MBN2090637.1|Group13_0	Group15	0.6490025	Zetaproteobacteria	0.24236986	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JABTUG010000003.1|MBE7423736.1|Group13_0	Group15	0.37383127	Zetaproteobacteria	0.31645632	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,nitrofurantoin,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
NZ_BDOQ01000001.1|WP_109013769.1|Group13_0	Group04	0.20085666	Zetaproteobacteria	0.4687906	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,ethambutol,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
BMZL01000001.1|GHB93251.1|Group06_0	Group04	0.26625097	Zetaproteobacteria	0.28264514	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,polymyxin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
LN775134.1|CEN54782.1|Group13_0	Group10	0.99825746	Planctomycetia	0.9898936	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,ethambutol,fosfomycin,glycopeptide,multidrug,mupirocin,peptide,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
JAEUHB010000192.1|MBL9200695.1|Group03_0	Group15	0.46203196	Deltaproteobacteria	0.47844085	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
PAAN01000009.1|MAS63914.1|Group03_0	Group15	0.847699	Gammaproteobacteria	0.9372894	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
DUPH01000427.1|HHU16486.1|Group03_0	Group10	0.9993709	Planctomycetia	0.99956995	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,ethambutol,glycopeptide,isoniazid,multidrug,mupirocin,peptide,pleuromutilin,polymyxin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
WRPG01000078.1|KAF0170727.1|Group03_0	Group15	0.514166	Zetaproteobacteria	0.24036327	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
PBYS01000116.1|MBT65072.1|Group03_0	Group10	0.9974963	Zetaproteobacteria	0.8554896	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
JAEUHE010000010.1|MBL9166329.1|Group03_0	Group08	0.84841436	Gammaproteobacteria	0.6739892	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,tetracycline,triclosan
DNKJ01000119.1|HBA85983.1|Group03_0	Group04	0.39697498	Gammaproteobacteria	0.4530706	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,ethambutol,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
QHJQ01000023.1|PXA02839.1|Group03_0	non-inti				
DSVZ01000033.1|HFG28308.1|Group03_0	Group08	0.98269665	Betaproteobacteria	0.31478778	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,polymyxin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan,trimethoprim
JABDJT010000583.1|NNE94282.1|Group03_0	Group04	0.9624228	Unassigned	0.47860393	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
DNCA01000279.1|HAV14052.1|Group03_0	non-inti				
LN775101.1|CEN54749.1|Group03_0	Group04	0.5043897	Gammaproteobacteria	0.22047727	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
JACQFS010000132.1|MBI3880827.1|Group03_0	Unclassified	0.9994925	Zetaproteobacteria	0.5424923	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
NZ_JACHVA010000095.1|WP_185693186.1|Group03_0	Group15	0.6276324	Gammaproteobacteria	0.266372	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,polymyxin,quinolone,rifamycin,tetracycline
PKUH01000061.1|PLY00863.1|Group03_0	Group08	0.8058617	Gammaproteobacteria	0.49506575	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JABHEX010000373.1|MBT7960190.1|Group03_0	Group10	0.99791783	Planctomycetia	0.9879995	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,tetracycline
PBYS01000079.1|MBT63802.1|Group03_0	Group02	0.40210775	Gammaproteobacteria	0.29965565	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
JACPPI010000001.1|MBI2812885.1|Group03_0	Group15	0.2535527	Gammaproteobacteria	0.70655835	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,ethambutol,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JAHHPH010000012.1|MBT8037269.1|Group03_0	Group15	0.91087455	Deltaproteobacteria	0.4385229	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline,trimethoprim
QNAI01000035.1|RKX34497.1|Group03_0	Group04	0.5989231	Gammaproteobacteria	0.47527254	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,polymyxin,quinolone,rifamycin,sulfonamide,tetracycline
JAEUGZ010000149.1|MBL9204688.1|Group03_0	Group10	0.9661943	Planctomycetia	0.9488092	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,tetracycline
DNDP01000103.1|HAV61700.1|Group03_0	Group02	0.33706847	Gammaproteobacteria	0.7273126	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,ethambutol,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
LN775021.1|CEN54669.1|Group03_0	Unclassified	0.4914987	Deltaproteobacteria	0.28685817	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
SEGY01001466.1|RYD27487.1|Group03_0	Group11	0.25540838	Spirochaetia	0.27105606	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
REDL01000032.1|TVR01892.1|Group03_0	Group10	0.9914437	Planctomycetia	0.52921313	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,ethambutol,fosfomycin,glycopeptide,multidrug,mupirocin,peptide,quinolone,rifamycin,tetracycline
JABMMJ010000857.1|NQX02951.1|Group03_0	Group08	0.27596295	Zetaproteobacteria	0.34826046	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
MWDV01000454.1|OQB88232.1|Group03_0	Unclassified	0.5030616	Zetaproteobacteria	0.27785867	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,polymyxin,quinolone,rifamycin,sulfonamide,tetracycline
RFYE01000158.1|NBR87868.1|Group03_0	Group04	0.33292758	Gammaproteobacteria	0.491618	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,ethambutol,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JAGWXG010000108.1|MBU6178652.1|Group03_0	non-inti				
JAAGNX010000001.1|NDV60828.1|Group03_0	Group10	0.9997919	Planctomycetia	0.98512334	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,ethambutol,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,tetracycline,triclosan
CP059265.1|QLQ34133.1|Group02_0	Group10	0.99825317	Planctomycetia	0.9938168	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,ethambutol,glycopeptide,isoniazid,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
JAHHGJ010000001.1|MBT3010088.1|Group02_0	Group08	0.8061342	Gammaproteobacteria	0.42051017	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
JDSS02000025.1|KFB67753.1|Group02_0	Group11	0.46411636	Gammaproteobacteria	0.45409742	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
NATR01000081.1|PVV15601.1|Group02_0	Group04	0.3359773	Deltaproteobacteria	0.21323562	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
WLWT01000001.1|NKC11405.1|Group02_0	Group15	0.4597222	Zetaproteobacteria	0.43408996	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JAESUM010000093.1|MBL4585358.1|Group02_0	non-inti				
DRPV01000124.1|HFQ80553.1|Group02_0	Group07	0.39128688	Zetaproteobacteria	0.38785914	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,ethambutol,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
NZ_JAILYN010000061.1|WP_222224529.1|Group02_0	Group11	0.8631456	Zetaproteobacteria	0.3222261	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
LWGG01000814.1|KZZ67761.1|Group02_0	Group06	0.20167132	Deltaproteobacteria	0.32107073	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,ethambutol,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
